"Code","Name","Latitude","Longitude","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tHAEMavg","tHAEMstd","YEAR","tCommBiomass","Reef Type","Depth"
"BZPHMR04","Middle Snake Caye",16.20152,-88.55112,4236,6879,0,0,351,791,0,0,1996,2509,"2018",6583,NA,3.5
"BZPHMR05","South Snake Caye",16.17913,-88.56444,1869,3687,12,33,516,782,0,0,10050,15090,"2018",12447,NA,3.3
"BZPHMR06","West Snake Caye",16.18874,-88.56981,8153,7800,12,33,1344,2626,0,0,15890,18193,"2018",25399,NA,3.8
"BZPHMR07","Bank 3",16.15346,-88.59153,547,773,0,0,0,0,0,0,1639,1613,"2018",2186,NA,4.9
"BZPHMR08","Bank 2",16.17936,-88.55684,56,149,868,1935,281,743,0,0,3715,4702,"2018",4920,NA,5.3
"BZPHMR09","French Man",16.17925,-88.6364,6240,9291,12,33,105,298,0,0,10036,12715,"2018",16393,NA,2.5
"BZPHMR10","Wilson",16.22111,-88.58796,3192,6867,0,0,70,199,0,0,4089,8544,"2018",7351,NA,3.3
"BZSCMR","Preservation Zone",16.1506,-88.2429,330.51567763304,991.54703289913,506.67040396732,1492.2260640022,17.154836391833,12.1303011428109,0,0,81.866148474861,127.62363746536,"2023",936.207066467054,"Barrier",NA
"CB_BR","CB_BR",17.15853,-87.91023,1027,437,73,171,0,0,0,0,1678,1048,"2018",2778,NA,2.1
"CB_DFR","CB_DFR",17.14891,-87.90773,478,669,0,0,35,99,0,0,447,442,"2018",960,NA,10.7
"CB_SFR","CB_SFR",17.15698,-87.90921,222,262,357,674,8,22,0,0,427,373,"2018",1014,NA,7.6
"CBDFR","CBDFR",17.157,-87.9079,2500.5597288679,2242.1368712499,0,0,1669.1867908501,926.405035749235,0,0,115.54774610795,170.84294269337,"2023",4285.29426582595,"Atoll",NA
"CC01","Corona Caiman",15.95446,-88.28024,32,102,14,21,39,100,0,0,23,65,"2021",108,NA,14
"CC01","Corona Caiman",15.9545,-88.2802,35.134036296788,105.27952982083,46.928972980129,115.53764888939,19.548160972753,13.8226371835599,0,0,236.43719622837,474.05947787405,"2023",338.04836647804,"Bank",NA
"CC02","Corona Caiman sensor temp",15.9695,-88.2985,116.60240694637,320.38447680713,28.014701135656,54.636702460541,25.732254587749,18.195451714216,0,0,47.521242000414,111.49076330803,"2023",217.870604670189,"Bank",NA
"CC02","Corona Caiman sensor temp",15.96953,-88.29851,16,53,285,944,16,29,13,44,12,31,"2021",342,NA,16.1
"CCSC","Caye Caulker Southern Channel",17.7256,-88.0109,307.24890931938,415.69992075104,80.523269591822,115.32320988521,265.0374789114,187.409798606838,0,0,2241.0709333068,2764.0972280431,"2023",2893.8805911294,"Barrier",NA
"Control","Control",18.06742,-87.86975,159,331,12,33,40,75,0,0,191,210,"2018",402,NA,15.4
"Coral Lane","Coral Lane",17.3072,-88.0538,442.0754742368,875.04595809659,8.137573390671,24.412720172013,0,0,225.97930991314,677.93792973942,1467.231918825,788.07302799722,"2023",2143.42427636561,"Barrier",NA
"CZ2_DFR","Cockroach Zone",17.51,-87.7492,277.31513477673,516.1348537595,211.19342820191,354.38222923968,233.31972442795,164.98195932758,0,0,334.29989980658,641.29050192753,"2023",1056.12818721317,"Atoll",NA
"CZ2_DFR","CZ2_DFR",17.51001,-87.74921,0,0,53,104,0,0,18,52,150,144,"2018",221,NA,10.7
"CZ2_SFR","CZ2_SFR",17.51015,-87.74994,566,728,0,0,16,45,0,0,472,536,"2018",1054,NA,8.6
"CZFR2","CZFR2",16.7369,-87.8077,100.32221409338,300.96664228015,48.038776099788,115.13413671164,166.17039293342,117.500211675654,0,0,304.04547134987,558.95341734866,"2023",618.576854476458,"Atoll",NA
"CZFR2",NA,16.73689,-87.80771,507,588,120,374,46,119,0,0,194,225,"2018",867,NA,14.7
"CZPR4",NA,16.76369,-87.80431,10,30,0,0,0,0,0,0,72,121,"2018",82,NA,1.5
"FIDO","Fido's Secret Wall",18.17344,-87.82841,297,386,67,135,638,2003,117,370,916,906,"2018",2035,NA,11.4
"Goff's Caye","Goff's Caye",17.3521,-88.0385,41.22355289483,123.67065868449,93.857945960258,149.30920806111,68.619345567331,48.5212045712428,0,0,321.80327185862,211.3674444117,"2023",525.504116281039,"Barrier",NA
"GSMBRS1","Gladden Spit",16.45231,-88.04171,123,214,118,374,2,6,0,0,95,161,"2021",338,NA,3.2
"HolChan","Hol Chan",17.85897,-87.97327,86,209,583,1843,0,0,0,0,13,24,"2021",682,NA,13.8
"LAST","Last Resort",18.16356,-87.83042,445,710,0,0,0,0,0,0,540,362,"2018",985,NA,4.4
