"Code","Name","Latitude","Longitude","tACANavg","tACANstd","tSCARavg","tSCARstd","YEAR","tHerbiBiomass","Reef Type","Depth"
"CB_BR","CB_BR",17.15853,-87.91023,405,234,2471,3046,"2018",2876,NA,2.1
"CB_DFR","CB_DFR",17.14891,-87.90773,916,993,2925,1410,"2018",3841,NA,10.7
"CB_SFR","CB_SFR",17.15698,-87.90921,434,165,1204,1132,"2018",1638,NA,7.6
"CBDFR","CBDFR",17.157,-87.9079,169.81864589973,154.74376664267,802.93418910701,760.66938143736,"2023",972.75283500674,"Atoll",NA
"CC01","Corona Caiman",15.95446,-88.28024,230,305,533,416,"2021",763,NA,14
"CC01","Corona Caiman",15.9545,-88.2802,148.16764432858,241.27198218564,673.26006396363,690.53544988177,"2023",821.42770829221,"Bank",NA
"CC02","Corona Caiman sensor temp",15.9695,-88.2985,245.59046224219,338.30609610525,525.83413650897,633.74338107511,"2023",771.42459875116,"Bank",NA
"CC02","Corona Caiman sensor temp",15.96953,-88.29851,362,260,491,415,"2021",853,NA,16.1
"CCSC","Caye Caulker Southern Channel",17.7256,-88.0109,491.93958993441,344.91264781667,5295.996460732,4719.4956916559,"2023",5787.93605066641,"Barrier",NA
"Control","Control",18.06742,-87.86975,373,475,860,1621,"2018",1233,NA,15.4
"Coral Lane","Coral Lane",17.3072,-88.0538,786.36234137871,1349.9618859613,2956.1000726572,2067.7017422257,"2023",3742.46241403591,"Barrier",NA
"CZ2_DFR","Cockroach Zone",17.51,-87.7492,458.08172443657,322.88128785482,2053.2205115654,2300.1328257481,"2023",2511.30223600197,"Atoll",NA
"CZ2_DFR","CZ2_DFR",17.51001,-87.74921,446,295,1302,1276,"2018",1748,NA,10.7
"CZ2_SFR","CZ2_SFR",17.51015,-87.74994,860,647,2451,2874,"2018",3311,NA,8.6
"CZFR2","CZFR2",16.7369,-87.8077,452.01231308774,287.79186859657,3629.8766810973,1787.9502708556,"2023",4081.88899418504,"Atoll",NA
"CZFR2",NA,16.73689,-87.80771,0,0,716,512,"2018",716,NA,14.7
"CZPR4",NA,16.76369,-87.80431,3,9,12,40,"2018",15,NA,1.5
"FIDO","Fido's Secret Wall",18.17344,-87.82841,206,308,2638,3301,"2018",2844,NA,11.4
"Goff's Caye","Goff's Caye",17.3521,-88.0385,562.30090980277,690.07802270041,2599.8956204319,1376.6131262256,"2023",3162.19653023467,"Barrier",NA
"GSMBRS1","Gladden Spit",16.45231,-88.04171,603,1351,570,334,"2021",1173,NA,3.2
"HolChan","Hol Chan",17.85897,-87.97327,76,130,564,742,"2021",640,NA,13.8
"LAST","Last Resort",18.16356,-87.83042,143,169,380,327,"2018",523,NA,4.4
"LBCMBRS1","Laughing Bird 1",16.42794,-88.20604,31,64,999,627,"2021",1030,NA,6.8
"LBCMBRS1","Laughing Bird Caye 1",16.4279,-88.206,182.47439744415,299.0685497803,2649.9054925186,2071.0479126851,"2023",2832.37988996275,"Lagoonal",NA
"LBCMBRS2","Laughing Bird 2",16.44383,-88.19778,37,74,826,1187,"2021",863,NA,2.3
"LBCMBRS2","Laughing Bird Caye 2",16.4438,-88.1978,151.83988328075,170.69941914844,5612.7200863565,7730.1278192057,"2023",5764.55996963725,"Lagoonal",NA
"MP_DFR","Mauger Point",17.6211,-87.7889,614.34713846131,745.95707562139,3663.6866934502,2629.1339197194,"2023",4278.03383191151,"Atoll",NA
"MP_DFR","MP_DFR",17.62305,-87.79146,210,143,1492,1848,"2018",1702,NA,10.7
"MP_SFR","Mauger Point",17.6205,-87.7884,811.65727028819,536.86016112267,4362.536196243,2129.6468652681,"2023",5174.19346653119,"Atoll",NA
"MP_SFR","MP_SFR",17.62194,-87.78979,375,207,1803,1239,"2018",2178,NA,7.6
"MXRCK","Mexico Rocks",17.99067,-87.90297,136,170,337,616,"2021",473,NA,13.5
"MXRCK","Mexico Rocks",17.9907,-87.903,563.8770903273,505.59159404498,682.85473971284,678.77332984227,"2023",1246.73183004014,"Barrier",NA
"Nicholas Caye","Nicholas Caye",16.1123,-88.256,708.57512069086,656.04987319699,2133.2382972361,1167.8042384767,"2023",2841.81341792696,"Barrier",NA
"PALM","Palm Spring",18.06523,-87.87831,420,359,214,242,"2018",634,NA,1.8
"PHMR 01","Bank 3",16.15347,-88.59154,6,12,460,651,"2021",466,NA,8
"PHMR 02","Frenchman",16.17925,-88.63641,1,3,661,566,"2021",662,NA,3.6
"PHMR 03","Daly Bank",16.33055,-88.34744,24,43,588,1101,"2021",612,NA,8.2
"PHMR 04","Spanish Bank",16.15952,-88.41018,0,0,859,731,"2021",859,NA,8.8
"PHMR 05","East Snake Caye",16.20594,-88.50809,600,1346,320,313,"2021",920,NA,4.1
"PHMR 06","Middle Snake Caye",16.20153,-88.55112,400,723,423,281,"2021",823,NA,2.8
"PHMR 07","West Snake Caye",16.18875,-88.56981,88,147,445,434,"2021",533,NA,4.1
"PHMR 08","South Snake Caye",16.17914,-88.56445,18,57,227,222,"2021",245,NA,2.3
