"Name","Latitude","Longitude","Reef.Type","tCommBiomass_avg","tHerbiBiomass_avg","tCORALavg_avg","tFMAavg_avg"
"South Snake Caye",16.17914,-88.56445,NA,399,245,11.83,5.42
"South Tip of Sapodillas",16.10412,-88.32987,NA,1076,1991.5,27.915,17.71
"South Water  Caye Reef",16.7365,-88.1485,"Bank",511.922707694317,791.76875165149,7.333333,11.166667
"South Water Caye",16.6302,-88.2061,"Lagoonal",2887.7127293089,1756.522205176,17,7.333333
"South of Carrie Bow Caye",16.64572,-88.0662,NA,5056,2588,8.5,15.33
"South of Curlew (sunken caye)",16.76494,-88.0761,NA,399,1139,18.67,4.5
"Southwest Glovers Patch",16.74339,-87.85077,NA,593,1556,18.67,15.33
"Southwest Glovers patch",16.74339,-87.85077,NA,269,518,27.83,13.83
"Southwest Glover’s Patch",16.7434,-87.8508,"Atoll",1948.52968378411,5852.9414835233,22.666667,5.166667
"Southwest of Maugre Caye",17.56664,-87.7489,NA,5583,4474,14.5,9.5
"Southwest of Seal Caye",16.12373,-88.37861,NA,527,1460,12.67,25.67
"Southwest of Seal Caye",16.1548,-88.3729,NA,697.5,1604.5,15,16.125
"Spanish Bank",16.15951,-88.41017,NA,2186,6272,NA,NA
"Spanish Bank",16.15952,-88.41018,NA,1022,859,9.67,10.17
"Spanish Bay",17.3883,-88.0456,"Barrier",1252.94643149805,1764.33664587323,19.166667,14.666667
"Tarpon Patch",18.17413,-87.83186,NA,403,265,NA,NA
"The Anchor",18.0974,-87.85613,NA,524,1658,NA,NA
"Transfer Wrecksite",17.3956,-87.46557,NA,581,2916,30.5,6.08
"Traps Caye",16.4953,-88.1685,"Lagoonal",726.750057546718,3491.85103739899,14.583333,3.5
"Traps Caye, Moho",16.4953,-88.1685,NA,91,915,6.83,11.83
"Tres Cocos",17.93406,-87.93876,NA,1058.5,1817.5,16.75,23.085
"Tres Cocos",17.9341,-87.9388,"Barrier",1488.22785224749,1773.39432611508,13,40.416667
"WEst HalfmoonCaye park edge",17.2591,-87.5558,NA,861,3267,23.67,22.67
"WP4-BR",17.38659,-87.93578,NA,132,402,15.33,2
"WP4-DFR",17.38347,-87.93974,NA,177,1255,10.17,11.5
"WP4-SFR",17.38359,-87.93821,NA,327,460,17.67,2.17
"WP4_BR",17.38659,-87.93578,NA,826,1362,NA,NA
"WP4_DFR",17.38347,-87.93974,NA,1339,1854,NA,NA
"WP4_SFR",17.38359,-87.93821,NA,345,2478,NA,NA
"WP5-BR",17.54707,-87.82041,NA,107,355,19.83,0.33
"WP5-DFR",17.54654,-87.82282,NA,682,473,17.17,19.83
"WP5-SFR",17.54674,-87.82186,NA,244,1089,8.83,4.17
"WP5_DFR",17.54603,-87.82514,NA,364,1547,NA,NA
"WP5_SFR",17.54716,-87.82292,NA,664,1934,NA,NA
"WQ4",17.43809,-87.534,NA,519,2830,8.5,1.17
"Way Point 3",17.4481,-88.0584,"Barrier",577.070925876606,262.846828683342,17.333333,1.166667
"Wee Wee Cay",16.7574,-88.1442,"Bank",1218.04778716451,1726.52368495408,8,2.083333
"West Point 4",17.3835,-87.9397,"Atoll",1564.4991894736,3128.39602123604,11.166667,6
"West Point 4",17.3836,-87.9382,"Atoll",739.927350886316,638.30498159756,10.166667,1.5
"West Point 4",17.3866,-87.9358,"Atoll",354.498417249889,608.12951012786,22.166667,0.333333
"West Point 5",17.5465,-87.8228,"Atoll",2993.23049504979,2643.61939086169,19.666667,13
"West Point 5",17.5467,-87.8219,"Atoll",110.425207567369,1693.30553311224,38.833333,0.166667
"West Snake Caye",16.18874,-88.56981,NA,25399,8164,NA,NA
"West Snake Caye",16.18875,-88.56981,NA,473,533,18,8.17
"West of Hat Caye",17.1692,-87.6317,NA,2490,1583,13.17,7.33
"West of Jack Barrow Camp",17.54819,-87.821,NA,4010,4015,32.17,0
"West of Laughing Bird Caye",16.4563,-88.2097,NA,308,1211,3,32.67
"West of Laughing Bird Caye",16.45676,-88.2093,NA,2749,1926,5.5,29.67
"West of SAndbore Caye",17.46172,-87.49525,NA,1038,2457,21.67,22.25
"White Reef",16.1041,-88.3299,"Barrier",1537.46446075658,9909.3581186659,43.833333,5.166667
"Wilson",16.22111,-88.58796,NA,7351,17122,NA,NA
"Wilson Caye",16.22111,-88.58796,NA,216,477,9.67,15.67
NA,16.2472,-88.176,NA,676,1344,16.17,20.42
NA,16.24728,-88.17989,NA,316,201,15.67,17.33
NA,16.73689,-87.80771,NA,867,716,23.83,16
NA,16.76369,-87.80431,NA,82,15,25.17,9.83
NA,16.81538,-87.85217,NA,2287,3724,34.33,4.83
NA,16.83796,-87.84392,NA,1973,8750,33.83,3.33
NA,17.132,-87.603,NA,334,1383,26.5,9.58
